Antecedent (Item A),Consequent (Item B),Support,Confidence,Lift
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0195,0.6897,26.51
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.0195,0.75,26.51
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.0263,0.6601,20.75
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.0263,0.8262,20.75
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.0204,0.6186,20.36
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.0204,0.6702,20.36
JUMBO BAG VINTAGE CHRISTMAS,JUMBO BAG 50'S CHRISTMAS,0.0154,0.6466,18.37
JUMBO BAG 50'S CHRISTMAS,JUMBO BAG VINTAGE CHRISTMAS,0.0154,0.4362,18.37
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.0249,0.5674,17.84
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0249,0.7832,17.84
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.031,0.7052,17.71
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.031,0.7778,17.71
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN,0.0154,0.5163,17.29
HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.0154,0.5163,17.29
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,0.0181,0.6057,17.02
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.0181,0.5082,17.02
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.0182,0.6683,16.81
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.0182,0.4583,16.81
JUMBO BAG APPLES,JUMBO BAG PEARS,0.0181,0.4457,16.2
JUMBO BAG PEARS,JUMBO BAG APPLES,0.0181,0.6596,16.2
HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN,0.0168,0.5643,15.86
HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN,0.0168,0.4735,15.86
BAKING SET SPACEBOY DESIGN,BAKING SET 9 PIECE RETROSPOT,0.017,0.7218,15.43
BAKING SET 9 PIECE RETROSPOT,BAKING SET SPACEBOY DESIGN,0.017,0.3644,15.43
